Room,PositionX,PositionY,Width,Height,Unlocked,PAIRID   
0,370,0,60,90,0,1
0,700,220,100,40,0,2

1,370,0,60,90,0,3
1,0,220,100,40,0,2

2,700,220,100,40,0,4

3,700,220,100,40,0,5
3,0,220,100,40,0,4
3,370,390,60,90,0,1

4,700,220,100,40,0,6
4,0,220,100,40,0,5
4,370,390,60,90,0,3
4,370,0,60,90,0,7

5,0,220,100,40,0,6

6,700,220,100,40,0,8
6,370,390,60,90,0,7
6,370,0,60,90,0,9

7,0,220,100,40,0,7

8,700,220,100,40,0,10
8,370,390,60,90,0,9
8,370,0,60,90,0,11

9,0,220,100,40,0,10

10,700,220,100,40,0,12
10,370,390,60,90,0,11
10,370,0,60,90,0,13

11,0,220,100,40,0,11

12,700,220,100,40,0,14
12,370,390,60,90,0,13
12,370,0,60,90,0,15

13,0,220,100,40,0,14
13,370,0,60,90,0,16

14,0,220,100,40,0,17
14,370,390,60,90,0,15

15,370,390,60,90,0,16

16,370,390,60,90,0,18

17,0,220,100,40,0,18
17,370,390,60,90,0,16







0,700,220,100,40,0,1

1,700,220,100,40,0,2
1,370,0,60,90,1,3
1,0,220,100,40,0,1

2,0,220,100,40,0,2

3,370,0,60,90,0,4
3,370,390,60,90,1,3

4,370,0,60,90,1,5
4,700,220,100,40,0,6

5,700,220,100,40,0,7
5,0,220,100,40,0,6
5,370,390,60,90,0,4
5,370,0,60,90,2,8

6,0,220,100,40,0,7
6,370,0,60,90,2,9

7,700,220,100,40,0,10

8,700,220,100,40,0,11
8,0,220,100,40,10
8,370,390,60,90,0,5

9,700,220,100,40,1,12
9,370,0,60,90,0,13
9,0,220,100,40,0,11
9,370,390,60,90,2,8


10,700,220,100,40,0,14
10,0,220,100,40,1,12
10,370,390,60,90,2,7

11,0,220,100,40,0,14
11,370,0,60,90,1,15

12,370,0,60,90,1,16
12,370,390,60,90,0,13

13,370,390,60,90,1,15
13,700,220,100,40,0,17

14,0,220,100,40,0,17

15,700,220,100,40,1,18

16,0,220,100,40,1,18
16,370,390,60,90,1,16

17,0,220,100,40,1,18
17,370,390,60,90,1,16
